236,129,1497
260,87,96
305,15,74
270,182,422
249,157,327
278,138,177
254,160,208
274,165,149
273,189,118
284,215,93
240,182,217
267,154,363
293,60,65
373,112,210
339,104,164
353,14,220
286,48,137
274,17,69
294,54,134
225,12,66
250,68,66
259,77,116
239,65,1444
217,90,68
344,240,88
340,290,743
304,142,244
388,144,1250
415,60,937
169,61,228
113,69,682
183,63,394
204,45,458
109,112,131
30,201,168
101,261,170
177,281,409
305,281,194
347,263,354
419,282,291
338,217,2047
281,249,95
318,262,183
192,203,640
335,265,1804
340,255,224
341,256,479
336,291,65
235,116,65
229,228,162
178,251,162
210,184,64
156,138,153
22,113,96
209,309,153
209,167,155
130,159,95
128,135,123
222,178,95
196,63,3031
298,157,823
326,156,249
356,150,107
375,225,65
252,273,251
161,268,397
128,271,289
63,306,392
120,218,241
313,153,1874
352,160,2113
335,109,172
239,62,244
153,53,174
40,72,318
133,78,139
264,215,75
349,215,152
362,216,226
270,187,113
380,209,76
353,184,74
331,197,293
227,145,612
210,227,355
235,237,378
147,145,463
278,80,262
161,180,409
80,144,145
225,112,70
223,142,314
99,127,193
266,165,118
342,115,116
199,218,121
194,212,172
241,149,358
150,245,198
244,121,3373
312,202,216
324,245,107
386,27,149
358,188,2665
329,269,287
246,294,146
122,281,294
102,161,458
152,94,206
305,108,278
401,91,317
396,204,85
406,143,109
356,98,72
344,166,138
332,198,1044
356,184,388
347,193,1032
352,176,668
253,144,555
195,171,288
128,279,350
60,307,406
312,317,386
211,169,543
219,100,276
346,156,622
295,90,356
221,124,378
145,201,420
192,199,293
233,132,548
197,147,549
251,118,1188
245,90,3319
228,201,126
322,176,197
261,180,225
217,125,323
108,67,251
75,72,507
361,150,1177
307,250,331
243,273,234
315,289,299
270,281,336
404,282,359
418,275,128
187,266,371
150,275,163
129,252,587
112,232,522
186,223,458
246,225,392
372,229,1678
