242,0,73
171,183,284
151,186,217
156,212,224
157,230,134
136,198,96
181,22,68
154,155,93
180,99,73
138,190,62
148,139,62
145,178,131
205,182,516
206,179,529
293,192,1391
195,172,181
101,276,203
94,354,160
148,416,138
68,425,441
67,362,511
85,223,101
96,95,138
142,60,133
252,30,327
285,385,577
245,408,507
309,446,177
215,325,244
162,231,1169
203,183,751
120,311,369
151,265,99
148,222,65
169,469,235
26,456,230
100,332,161
142,257,450
197,351,291
99,182,66
164,277,100
152,223,497
133,184,101
127,219,995
62,135,488
193,415,364
22,461,295
130,249,1296
161,281,140
152,343,176
184,281,73
270,249,108
191,194,323
276,233,72
298,218,72
218,226,179
212,180,107
153,100,1000
100,65,360
252,197,224
278,381,308
226,440,190
262,467,377
116,493,332
155,494,109
187,169,1451
189,137,2161
172,205,786
215,307,223
211,164,263
93,353,87
171,179,92
194,135,133
204,134,236
90,383,135
51,410,201
151,123,202
146,152,329
198,284,162
159,180,357
234,169,280
199,159,118
201,151,79
93,317,242
169,183,79
70,425,210
170,208,130
194,188,128
61,429,165
181,193,84
204,171,83
46,362,197
121,166,115
154,164,78
141,134,77
154,175,159
75,341,164
144,129,202
158,140,236
42,345,124
149,199,237
170,276,119
160,184,331
98,371,418
69,344,275
167,164,1042
186,285,235
196,371,78
161,345,432
56,350,79
61,379,116
172,136,82
157,121,79
157,186,456
64,308,185
67,229,122
64,184,75
120,176,194
121,215,75
137,218,80
145,219,306
162,170,312
103,213,535
131,228,536
84,248,302
141,214,1150
118,217,2408
136,198,134
155,189,195
24,436,614
196,415,313
177,395,186
198,297,187
199,167,155
151,182,821
201,181,1043
142,170,2130
153,165,635
208,244,449
147,167,1927
168,163,3410
226,134,1205
256,212,164
204,364,265
263,402,397
310,378,198
77,417,233
45,398,603
124,410,375
78,419,173
207,354,270
36,380,442
54,263,205
10,198,302
24,154,164
161,273,367
189,311,403
17,193,914
7,227,411
175,285,411
196,11,447
36,228,67
170,297,793
