259,155,264
289,224,127
315,236,242
319,225,237
320,197,91
314,232,951
263,159,353
262,133,175
268,173,237
259,174,310
216,145,209
113,107,149
259,237,212
261,208,91
325,204,296
322,189,568
292,125,257
311,154,357
343,205,198
202,238,218
352,264,93
308,247,384
288,231,87
329,268,118
331,243,242
305,246,463
344,264,1011
346,223,438
324,222,793
148,151,125
81,85,321
138,77,315
305,80,200
397,107,288
333,101,320
290,140,443
413,150,257
427,266,700
384,330,156
454,356,320
172,238,537
204,232,170
242,327,71
111,199,128
76,158,199
258,262,63
260,258,65
259,272,319
107,241,94
121,69,68
253,310,1283
261,334,151
238,347,562
96,213,122
71,142,886
159,230,188
175,35,66
293,192,103
269,292,70
146,139,147
142,225,67
233,276,134
237,277,690
135,267,196
223,277,101
227,259,226
269,278,360
232,205,634
290,233,532
222,168,106
304,199,936
178,79,139
60,58,276
7,104,539
79,1,317
299,57,209
451,97,325
414,191,279
327,227,279
108,127,203
167,163,136
102,76,311
84,22,1460
30,127,469
9,164,1459
107,142,254
310,342,110
322,302,109
311,336,108
231,208,271
340,214,80
170,134,87
113,127,249
184,270,298
314,243,292
295,246,561
290,256,116
310,268,416
238,189,261
184,161,112
134,125,92
139,105,131
116,114,115
105,126,235
226,79,78
112,131,271
111,103,118
354,85,122
127,76,354
338,7,120
298,175,273
136,98,288
193,104,360
261,161,360
73,106,120
69,105,157
234,223,400
268,211,285
103,170,115
109,179,219
233,205,321
297,214,80
300,227,79
34,196,156
289,230,78
351,264,235
344,244,78
346,264,314
349,250,120
311,291,80
304,257,318
370,275,244
412,212,202
370,197,239
285,106,271
301,164,161
96,69,79
110,116,195
273,247,270
315,256,178
298,236,226
205,139,1887
280,196,2328
263,182,129
287,199,616
85,177,376
138,174,347
166,248,509
298,303,540
354,78,315
237,46,381
59,69,630
290,200,322
306,223,86
305,238,1710
241,90,3133
299,156,171
128,80,163
304,185,927
339,203,791
322,234,390
92,329,163
161,321,292
129,259,257
185,228,831
109,188,517
62,125,592
112,64,956
278,17,495
107,46,493
391,86,302
446,72,392
466,23,416
440,245,662
409,311,994
